"Stall number","Owner","Stall name","Placering ","Koordinater","Price level","Kategori til hjulet","Cuisine type ","Stall description","Festival history"
"02-02. ","Dansk Tyrkisk forening","Aladdins Kebab","Agora G","55.6169784      12.0755432","Middle","Meat, Poultry, Fruits & Veggies","Turkish","Aladdin's Kebab is moderated by Danish Turkish Youth Association in Roskilde. At Aladdin's Kebab, you can get a variety of Turkish dishes with chicken, kebab meat or falafel. You can also get durum, pita bread, pasta salad with different vegetables taziki and humus","Profits go to social purposes for the members - including cultural and social events and sports activities for young people."
"92-07","Vigges Venner","Delleboden","Agora G","55.6169760      12.0757715","Middle","Meat, Fruits & Veggies, Breakfast","Danish","'Delleboden' opens at 7.00 pm and make this brunch: fried eggs with bacon, homemade American pancakes with maple syrup, brunch sausages with fried potatoes and ketchup, freshly baked buns with cold cuts of your choice. Drinks: coffee, tea, chocolate milk, milk or juice. During the late morning we start frying our 5 kinds of meatballs: normal,with garlic, with chilli, with fish or vegetarian balls. All balls are freshly fried and comes with different accessories: fried spicy potatoes, homemade potato salad, homemade tzatziki or mixed salad. As much as possible is homemade and all vegetables are organic.","The people behind 'Delleboden' is a scout group, Viggi, which first ran a stall at the festival in 1982. Through the years the range has expanded rapidly and we are for the first time this year moved to Camping East. Profits are put in the fund Viggis Friends, which provides grants for summer camps and other events in the group. Like this it's not economics that determines whether a child can participate or not. Also the profit give us the opportunity to buy good tents and other equipment for the scouts."
"92-29C","KFUM's Boldklub Roskilde","KFUM Shop Non Stop","Agora G","55.6169899      12.0753012","Low","Meat, Poultry, Fruits & Veggies, Sweets & Drinks, Breakfast","Deli","Football Club 'KFUM’s Boldklub' is again to be found at Roskilde Festival with their ""Shop Non Stop"" kiosks. Available 24/7 in all camping areas, they offer freshly baked bread in the morning, hot dishes, sweets, crisps, chocolate, coffee, water, juice, all the necessary things for personal hygiegne, and much more","The profit that are generated at Roskilde Festival each year helps improving the conditions for all the 500 members of the club. History: The club paticipated at Roskilde Festival for the first time in 1971 as a part of the support from the associations in Roskilde Festival. That was to ensure that guests could get food and drinks. Since then, it has been a recurring event for the association - an event that in addition to helping financially, also contributes to the social climate in the club, as most of the adult members are contributing as volunteers."
"05-03B ","Team Helsinge Håndbold","Bagel","Arena","55.6196216      12.0830535","Middle","Meat, Seafood, Poultry, Fruits & Veggies, Breakfast","Bagel","Here, you get freshly made bagels with ham and cheese, chicken / pesto, curry, tuna, salmon, veggie bagels. And also cool organic elderflower drink. Dessert, like cake and tea and coffee, can also be consumed in the stall.","We are Team Handball Helsinge Friends - We support Helsinge Team Handball (all their teams). The association consists of volunteer coaches, managers and board officials. We support the club financially and the profit from Roskilde are used for education, props, tours and everything a handball club may need. We have been with the festival since 2003 - we have taken over stall from the company who makes our bagels. We keep returning because our volunteers get a lot of experience - get a lot of social life and earn memories for life - We believe that the social side of a handball is a very important thing for a healthy club."
"07-09B","Boutique Lize","Boutique Lize","Arena","55.6190494      12.0837994","Middle","Sweets & Drinks","Bar",,
"03-02.","Kristinedal","Kristinedal","Arena","55.6190241      12.0844289","Middle","Meat, Fruits & Veggies ","Fast food","We serve juicy, meaty and handheld burgers, crispy fries and creamy milk shakes to the hungry festival guests. As a new thing we also sell Rum Shakes - Caribbean inspired long drinks that will get you dreaming. Kristinedal is the place to get food you cannot get anywhere else","In 1972 Oluf Christensen went to Canada to study the breeding of cattle. At one of Canada’s big county fairs he was introduced to a new way of preparing beef, and he brought this new method with him back to Denmark. In 1973 Oluf had his first food stall at Roskilde Dyrskue and his meat was exceptionally well embraced by the audience as has been the case every year since then. His grandsons Claus and Jeppe Christensen, took over the business in 1993. In 2001 the professional chef, Martin Skriver, joined Kristinedal as a partner. Martin has improved the gastronomical achievements and hereby heightened the overall quality of the products. Since 2003, Kristinedals first year at Roskilde Festival, still more festival guest has tasted the deliciously tender beef in the Oxburger. (www.Kristinedal.dk)"
"10-01.","Fonden Roskilde Festival","Cykelbar ","At the sails",,"Middle","Sweets & Drinks","Bar","The mobile orange Cykelbar will be driving around the festival area. Follow the horn and refresh yourself with Cosmopolitans and Tom Collins",
"92-30. ","Roskilde KFUM Håndbold","Danish Corner","At the sails","55.6196018      12.0800490","Middle","Meat, Fruit & Veggies, Sweets & Drinks ","Danish","We have a small selection from the old Danish kitchen. Among others fried pork with parsley sauce, burning love (mashed potatoes with bacon and onion), roast pork sandwich and a yummy and delicious veggie burger (quan steak). As dessert, we have old fashioned apple pie with crumbs and whipped cream","Roskilde KFUM handball is behind the stall and has been for many years. Proceeds go to the teams in the club, sports clothing, handballs and tournament travels. We use the Roskilde Festival as a social weekend where members of former active members and family work together and enjoy themselves"
"92-14.","Gadegårdens Støtteforening","Gadegårdens Bollebod","At the sails","55.6197596      12.0799467","Middle","Meat, Poultry, Fruits & Veggies ","Sandwichs","Gadegårdens Bollebod are selling buns. In 2011, however, we sell a bit more, as most customers choose MEGA pita bread with kebab, chicken or vegetarian. We also serve rolls with cheese, coffee and tea, pastries and juice.","The stall is run by Gadegårdens support group who has a background in Gadegårdens Fritidscenter in Roskilde Municipality. The association has been at the Roskilde Festival for nearly 30 years, and some of the volunteers in the booth has been with us every each year. Although there are new volunteers in the stall every year it is still the familiarity with each other that makes it fun to join. The profits over the years has paid cars, a sport pitch, a playground, a kitchen and much more at Gadegårdens Fritidscenter and has thus made life better for members in the club"
"92-39A ","Svogerslev Håndboldklub","Mor Toves","At the sails","55.6199618      12.0796334","Middle","Sweets & Drinks","Dessert",,
